,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
1123, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1124, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1125, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1126, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1127, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1128, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1129, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1130, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1131, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1132, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1133, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1134, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 1, 3, 3, 4, , Serviced," ₦800,000 per annum", 400 sqm, 280 sqm, Furnished
1135, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1136, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1137, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1138, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1139, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1140, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1141, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1142, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1143, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1144, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1145, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1146, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1147, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1148, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1149, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1150, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1151, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1152, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1153, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1154, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1155, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
1156, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1157, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1158, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1159, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1160, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1161, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1162, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1163, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1164, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1165, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1166, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1167, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1168, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1169, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1170, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1171, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1172, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1173, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1174, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1175, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1176, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available, 10,,,,,,,,,
1177, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1178, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1179, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1180, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1181, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1182, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1183, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1184, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1185, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1186, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1187, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1188, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1189, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1190, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1191, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1192, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1193, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1194, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1195, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1196, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1197, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
1198, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1199, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1200, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1201, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1202, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1203, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1204, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1205, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1206, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1207, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1208, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1209, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1210, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1211, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1212, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1213, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1214, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1215, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1216, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1217, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1218, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 2, 3, 3, 4,,,,,,
1219, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1220, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1221, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1222, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1223, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1224, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1225, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1226, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1227, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1228, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1229, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1230, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1231, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1232, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1233, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1234, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1235, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1236, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1237, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1238, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1239, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available, 30,,, 5, , Serviced," ₦240,000 per annum",,, Furnished
1240, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1241, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1242, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1243, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1244, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1245, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1246, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1247, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1248, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1249, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1250, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1251, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
1252, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
1253, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
1254, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
1255, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
1256, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
1257, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
1258, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
1259, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
1260, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available, 120,,,,,,,,,
1261, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1262, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
1263, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
1264, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
1265, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
1266, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
1267, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
1268, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
1269, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
1270, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
1271, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
1272, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
