,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Parking Spaces,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Total Area,Covered Area,Furnishing
34, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
35, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
36, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 1,, 2, 2,, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
37, per annum,"4,000,000", Detached Duplex," Ikota Villa Behind Mega Chicken, Lekki, Lagos", 1310832, 05 May 2022, 05 May 2022, Available, 5, 4, 4, 5, ,,, 600 sqm, 400 sqm,
38, per annum,"15,000,000", House," Utako, Abuja", 1310827, 05 May 2022, 05 May 2022, Available, 5, 5, 6, 6, , Serviced," ₦1,500,000 per annum", 500 sqm, 500 sqm, Furnished
39, per annum,"2,500,000", Detached Bungalow," Garki 2, Garki, Abuja", 1310813, 05 May 2022, 05 May 2022, Available, 10, 2, 2, 3,,,,,,
40, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 824270, 08 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
41, per annum,450, Office Space," Old Ikoyi, Ikoyi, Lagos", 825400, 10 Jan 2021, 05 May 2022, Available,,, 3, 3,, Serviced,," 4,000 sqm",,
42, per annum,"6,000,000", Flat / Apartment," Dideolu Estate, Off Ligali Ayorinde, Victoria Island (VI), Lagos", 838601, 22 Jan 2021, 05 May 2022, Available, 2, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,
43, per annum,"2,700,000", Semi-detached Duplex," Mobil Road, Ajah, Lagos", 1310903, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
44, per annum,"1,400,000", Flat / Apartment," Ikota Royal Estate, Lekki, Lagos", 1310899, 06 May 2022, 06 May 2022, Available,, 2, 2,, ,,,,,
45, per annum,"4,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1310883, 06 May 2022, 06 May 2022, Available,, 4, 4, 4, ,,,,,
46, per annum,"3,500,000", Flat / Apartment," Wuye, Wuye, Abuja", 1310881, 06 May 2022, 06 May 2022, Available, 5, 3, 4, 4,,,,,,
47, per annum,"3,000,000", Terraced Duplex," Gwarinpa, Abuja", 1310851, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5, , Serviced," ₦15,000 per month",,,
48, per annum,"2,000,000", Flat / Apartment," 2nd Avenue, Gwarinpa, Abuja", 1310849, 06 May 2022, 06 May 2022, Available,, 2, 2, 3, ,,,,,
49, per annum,"800,000", Flat / Apartment," Gabriel Ave Opposite Naf Harmony Estate Rukpakulusi, Rukpakulusi, Port Harcourt, Rivers", 1310848, 06 May 2022, 06 May 2022, Available, 8, 2, 3, 3, ,,, 466 sqm, 359 sqm,
50, per annum,"8,000,000", Flat / Apartment," Guzape District, Abuja", 984095, 22 Jun 2021, 06 Apr 2022, Available, 3, 3, 3, 4, , Serviced,,,, Furnished
51, per annum,"3,500,000", Terraced Duplex," Orchid Road, Lekki, Lagos", 1310835, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 5,,,,,,
52, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1309952, 05 May 2022, 05 May 2022, Available, 2, 2, 2, 3, , Serviced," ₦500,000 per annum",,,
53, per annum,"2,500,000", Flat / Apartment," Inside Chevy View Estate, Lekki, Lagos", 1310208, 05 May 2022, 05 May 2022, Available, 2, 3, 3, 3,,,,,,
54, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 4, 5, 5,,,,,,
55, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 3, 4, 5, 5, , Serviced," ₦40,000 per month",,,
56, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available,, 4, 5, 5, , Serviced," ₦500,000 ",,,
