,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,Parking Spaces,   ,Servicing,Service Charge,Furnishing,Total Area,Covered Area
151, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
152, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
153, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
154, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
155, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
156, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
157, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
158, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
159, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
160, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
161, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
162, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
163, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
164, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
165, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
166, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
167, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
168, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,, 120,,,,,,
169, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
170, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
171, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
172, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
173, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
174, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
175, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
176, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
177, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
178, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
179, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
180, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
181, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
182, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
183, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
184, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
185, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
186, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
187, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
188, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
189, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,,, 5, 30, , Serviced," ₦240,000 per annum", Furnished,,
190, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
191, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
192, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
193, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
194, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
195, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
196, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
197, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
198, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
199, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
200, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
201, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
202, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
203, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
204, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
205, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
206, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
207, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
208, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
209, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
210, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 3, 4, 1, , Serviced," ₦800,000 per annum", Furnished, 400 sqm, 280 sqm
211, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
212, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
213, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
214, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
215, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
216, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
217, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
218, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
219, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
220, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
221, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
222, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
223, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
224, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
225, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
226, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
227, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
228, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
229, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
230, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
231, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6,, ,,,,,
232, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
233, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
234, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
235, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
236, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
237, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
238, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
239, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
240, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
241, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
242, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
243, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
244, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
245, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
246, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
247, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
248, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
249, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
250, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
251, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
252, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,, 120,,,,,,
253, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
254, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
255, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
256, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
257, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
258, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
259, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
260, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
261, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
262, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
263, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
264, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
265, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
266, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
267, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
268, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
269, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
270, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
271, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
272, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
273, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 3, 4, 1, , Serviced," ₦800,000 per annum", Furnished, 400 sqm, 280 sqm
274, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
275, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
276, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
277, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
278, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
279, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
280, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
281, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
282, per annum,"8,000,000", Semi-detached Duplex," Sonibare Estate , Ikeja Gra Extension, Ikeja GRA, Ikeja, Lagos", 1311378, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 5,, Serviced," ₦2,500,000 per annum", Furnished,,
283, per annum,"20,000,000", Detached Duplex," By Governors Lodges., Asokoro District, Abuja", 1311386, 06 May 2022, 06 May 2022, Available, 8, 8, 9,, ,,,,,
284, per annum,"5,000,000", Detached Duplex," Oral Estate, Lekki, Lagos", 1311377, 06 May 2022, 06 May 2022, Available, 5, 5, 6, 4,,,,,,
285, per annum,"6,000,000", House," Adeniyi Jones, Ikeja, Lagos", 1311368, 06 May 2022, 06 May 2022, Available, 5, 5, 6,, ,,,,,
286, per annum,"1,100,000", Mini Flat (Room and Parlour)," Ikate Elegushi, Lekki, Lagos", 1311365, 06 May 2022, 06 May 2022, Available, 1,,,,,,,,,
287, per annum,"400,000", Self Contain (Single Rooms)," Therra Zone Peace Estate, Sangotedo, Ajah, Lagos", 1311364, 06 May 2022, 06 May 2022, Available,, 4, 4,, ,,,,,
288, per annum,"3,000,000", Flat / Apartment," Chevron Drive, Lekki Phase 2, Lekki, Lagos", 1311362, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
289, per annum,"2,500,000", Flat / Apartment," By Gilmore, Jahi, Abuja", 1311352, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 5,,,,,,
290, per annum,"3,000,000", Flat / Apartment," Bera Estate, Lekki, Lagos", 1311348, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 3,,,,,,
291, per annum,"12,000,000", Flat / Apartment," Ikoyi Lagos Nigeria, Ikoyi, Lagos", 1311340, 06 May 2022, 06 May 2022, Available, 3, 4, 4, 15, ,,,," 3,000 sqm"," 1,500 sqm"
292, per annum,"1,700,000", Self Contain (Single Rooms)," Jakande By Salem Bus Stop, Lekki, Lagos", 1311332, 06 May 2022, 06 May 2022, Available,, 1, 1, 1, , Serviced," ₦25,000 per month",,,
293, per annum,"6,500,000", Terraced Duplex," Ikeja GRA, Ikeja, Lagos", 1311331, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
294, per annum,"6,000,000", Flat / Apartment," Dideolu Estate, Off Ligali Ayorinde, Victoria Island (VI), Lagos", 838601, 22 Jan 2021, 05 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,500,000 per annum",,,
295, per annum,"3,500,000", House," Thomas Estate, Ajah, Lagos", 1266462, 22 Mar 2022, 06 May 2022, Available, 4,, 4,, ,,,,,
296, per annum,"5,500,000", Detached Duplex," Lafiaji, Lekki, Lagos", 1288899, 13 Apr 2022, 13 Apr 2022, Available, 4, 4, 5, 3,,,,,,
297, per annum,"5,000,000", Detached Duplex," Ikota, Lekki, Lagos", 1302534, 27 Apr 2022, 27 Apr 2022, Available, 4, 6, 5, 3,,,,,,
298, per annum,"900,000", Flat / Apartment," Before Lagos Business School, Olokonla, Ajah, Lagos", 1311278, 06 May 2022, 06 May 2022, Available, 2, 2, 3, 3,,,,,,
299, per annum,"1,500,000", Flat / Apartment," Market Square, Ago Palace, Isolo, Lagos", 1237807, 24 Feb 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
300, per annum,"1,200,000", Flat / Apartment," Off Grandmate, Ago Palace, Isolo, Lagos", 1252782, 09 Mar 2022, 06 May 2022, Available, 2, 3, 3,, ,,,,,
301, per annum,"3,000,000", Flat / Apartment," Oniru Estate, Oniru, Victoria Island (VI), Lagos", 1311391, 06 May 2022, 06 May 2022, Available, 3, 3, 4, 2, , Serviced," ₦2,015,000 per annum",,,
302, per annum,"2,700,000", Flat / Apartment," Glory Court Estate, Omole Phase 1, Ikeja, Lagos", 1311390, 06 May 2022, 06 May 2022, Available, 3, 3, 4,, ,,,,,
