,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Parking Spaces,Furnishing,Total Area,Covered Area
32, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2,, 300 sqm, 300 sqm
33, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
34, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
35, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
36, per annum,"6,000,000", Terraced Duplex," Spar Road, Lekki, Lagos", 1307886, 03 May 2022, 03 May 2022, Available, 3, 3, 4, , Serviced,, 2, Furnished,,
37, per annum,"1,750,000", Flat / Apartment," Life Camp, Abuja", 1312356, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦1,000,000 per annum", 2,,,
38, per annum,"4,000,000", Terraced Duplex," Nicon Town, Lekki, Lagos", 1282280, 06 Apr 2022, 07 May 2022, Available, 4, 4, 5, , Serviced," ₦65,000 per month", 3,," 3,500 sqm", 400 sqm
39, per annum,"1,300,000", Flat / Apartment," Seaside Estate, Badore, Ajah, Lagos", 1312328, 07 May 2022, 07 May 2022, Available, 2, 2, 3,,,,, Furnished,,
40, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, ,,, 1,, 150 sqm, 100 sqm
41, per annum,"2,200,000", Mini Flat (Room and Parlour)," Off Freedom Way, Lekki Phase 1, Lekki, Lagos", 1312322, 07 May 2022, 07 May 2022, Available, 1, 2, 2,,,, 1,,,
42, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,,,,, 120,,,
43, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
44, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
45, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1, Furnished,,
46, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
47, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
48, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
49, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
50, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2,, 180 sqm, 190 sqm
51, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
52, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3,, 400 sqm, 400 sqm
