,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Parking Spaces,Furnishing,Total Area,Covered Area
53, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2,, 300 sqm, 300 sqm
54, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
55, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
56, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
57, per annum,"6,000,000", Terraced Duplex," Spar Road, Lekki, Lagos", 1307886, 03 May 2022, 03 May 2022, Available, 3, 3, 4, , Serviced,, 2, Furnished,,
58, per annum,"1,750,000", Flat / Apartment," Life Camp, Abuja", 1312356, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦1,000,000 per annum", 2,,,
59, per annum,"4,000,000", Terraced Duplex," Nicon Town, Lekki, Lagos", 1282280, 06 Apr 2022, 07 May 2022, Available, 4, 4, 5, , Serviced," ₦65,000 per month", 3,," 3,500 sqm", 400 sqm
60, per annum,"1,300,000", Flat / Apartment," Seaside Estate, Badore, Ajah, Lagos", 1312328, 07 May 2022, 07 May 2022, Available, 2, 2, 3,,,,, Furnished,,
61, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, ,,, 1,, 150 sqm, 100 sqm
62, per annum,"2,200,000", Mini Flat (Room and Parlour)," Off Freedom Way, Lekki Phase 1, Lekki, Lagos", 1312322, 07 May 2022, 07 May 2022, Available, 1, 2, 2,,,, 1,,,
63, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,,,, 10,,,
64, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
65, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
66, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1, Furnished,,
67, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
68, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
69, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
70, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
71, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2,, 180 sqm, 190 sqm
72, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
73, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3,, 400 sqm, 400 sqm
74, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2,, 300 sqm, 300 sqm
75, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
76, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
77, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
78, per annum,"6,000,000", Terraced Duplex," Spar Road, Lekki, Lagos", 1307886, 03 May 2022, 03 May 2022, Available, 3, 3, 4, , Serviced,, 2, Furnished,,
79, per annum,"1,750,000", Flat / Apartment," Life Camp, Abuja", 1312356, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦1,000,000 per annum", 2,,,
80, per annum,"4,000,000", Terraced Duplex," Nicon Town, Lekki, Lagos", 1282280, 06 Apr 2022, 07 May 2022, Available, 4, 4, 5, , Serviced," ₦65,000 per month", 3,," 3,500 sqm", 400 sqm
81, per annum,"1,300,000", Flat / Apartment," Seaside Estate, Badore, Ajah, Lagos", 1312328, 07 May 2022, 07 May 2022, Available, 2, 2, 3,,,,, Furnished,,
82, per annum,"3,000,000", Flat / Apartment," Lekki, Lekki Phase 1, Lekki, Lagos", 1311969, 06 May 2022, 06 May 2022, Available, 1, 1, 2, ,,, 1,, 150 sqm, 100 sqm
83, per annum,"2,200,000", Mini Flat (Room and Parlour)," Off Freedom Way, Lekki Phase 1, Lekki, Lagos", 1312322, 07 May 2022, 07 May 2022, Available, 1, 2, 2,,,, 1,,,
84, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,,, 5, , Serviced," ₦240,000 per annum", 30, Furnished,,
85, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
86, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
87, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1, Furnished,,
88, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
89, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
90, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
91, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
92, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2,, 180 sqm, 190 sqm
93, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
94, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3,, 400 sqm, 400 sqm
95, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2,, 300 sqm, 300 sqm
96, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
97, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
98, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
99, per annum,"6,000,000", Terraced Duplex," Spar Road, Lekki, Lagos", 1307886, 03 May 2022, 03 May 2022, Available, 3, 3, 4, , Serviced,, 2, Furnished,,
100, per annum,"1,750,000", Flat / Apartment," Life Camp, Abuja", 1312356, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦1,000,000 per annum", 2,,,
