,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
31, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
32, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
33, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
34, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
35, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
36, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
37, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
38, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
39, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
40, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
41, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
42, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available, 5,, 6, ,,,,,,
43, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
44, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
