,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Parking Spaces,Servicing,Service Charge,Total Area,Covered Area,Furnishing
45, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
46, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
47, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
48, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
49, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
50, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
51, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
52, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
53, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
54, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
55, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
56, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
57, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
58, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
59, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
60, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
61, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
62, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
63, per annum,"1,400,000", Self Contain (Single Rooms)," Lekki County Homes, Ikota, Lekki, Lagos", 1303789, 28 Apr 2022, 05 May 2022, Available,, 4, 1,,, Serviced," ₦150,000 per annum",,,
64, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
65, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
66, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
67, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
68, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
69, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
70, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
71, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
72, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
73, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
74, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
75, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
76, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
77, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
78, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
79, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
80, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
81, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
82, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
83, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
84, per day,"50,000", Conference / Meeting / Training Room," 21, Ogunnusi Road., Ogba, Ikeja, Lagos", 1220208, 07 Feb 2022, 07 Feb 2022, Available,,,,, 120,,,,,
85, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
86, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
87, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
88, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
89, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
90, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
91, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
92, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
93, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
94, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
95, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
96, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
97, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
98, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
99, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
100, per annum,"100,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1257263, 14 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦6,000,000 per annum",,,
101, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1257354, 14 Mar 2022, 05 May 2022, Available, 4, 4, 5, , 2, Serviced," ₦4,000,000 per annum",,,
102, per annum,"4,000,000", Terraced Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310170, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
103, per annum,"8,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1259441, 15 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
104, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1262425, 18 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
105, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6, ,,,,,,
106, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 4, 5, 5, , 3, Serviced," ₦40,000 per month",,,
107, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 4, 5, 5, ,, Serviced," ₦500,000 ",,,
108, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available,, 2, 2,, 1, Serviced," ₦11,000 per annum", 600 sqm, 500 sqm,
109, per annum,"5,000,000", Terraced Duplex," Gated And Secured Area, Jakande, Lekki, Lagos", 1310218, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3,,, 300 sqm, 200 sqm,
110, per annum,"3,000,000", Flat / Apartment," Osapa London, Osapa, Lekki, Lagos", 1296740, 21 Apr 2022, 21 Apr 2022, Available, 3, 3, 4, , 2, Serviced," ₦540,000 per annum",,,
111, per annum,"4,500,000", Semi-detached Duplex," Ikota, Lekki, Lagos", 1284478, 08 Apr 2022, 05 May 2022, Available, 4, 4, 5,, 3,,,,,
112, per annum,"6,500,000", Semi-detached Duplex," Richmond Estate, Ikate Elegushi, Lekki, Lagos", 1310210, 05 May 2022, 05 May 2022, Available, 4, 4, 6,, 3, Serviced, ₦650 per annum, 300 sqm,,
113, per annum,"4,000,000", Semi-detached Duplex," Chevron 2nd Toll Gate, Lekki, Lagos", 1310196, 05 May 2022, 05 May 2022, Available, 4, 4, 5, , 3, Serviced," ₦40,000 per month",,,
114, per annum,"7,000,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1310192, 05 May 2022, 05 May 2022, Available, 2, 2, 3, , 1, Serviced," ₦1,000,000 ",,,
115, per annum,"9,000,000", Flat / Apartment," Old Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1246582, 04 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦3,500,000 per annum",,,
116, per annum,"750,000", Mini Flat (Room and Parlour)," Abraham Adesanya Estate, Ajah, Lagos", 1310186, 05 May 2022, 05 May 2022, Available, 1, 2, 2,, 1,,,,,
117, per annum,"1,200,000", Flat / Apartment," Gra, Asaba, Delta", 1310178, 05 May 2022, 05 May 2022, Available, 2, 2, 3,, 2,,,,,
118, per annum,"12,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1253262, 10 Mar 2022, 05 May 2022, Available, 3, 3, 4, , 2, Serviced," ₦4,000,000 per annum",,,
119, per annum,"1,500,000", Self Contain (Single Rooms)," Off Ibb Boulevard, Maitama District, Abuja", 1310095, 05 May 2022, 05 May 2022, Available,,, 1, ,,,,,, Furnished
120, per annum,"30,000,000", Semi-detached Duplex," Off Adeyemi Lawson Street, Ikoyi, Lagos", 1310172, 05 May 2022, 05 May 2022, Available, 5, 5, 6, ,,,,,,
