,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bathrooms,Toilets,Parking Spaces,Servicing,Service Charge,   ,Bedrooms,Total Area,Covered Area,Furnishing
33, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, 4, Serviced,, , 4,,,
34, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced,, , 3,,,
35, per annum,"18,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1234292, 21 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
36, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1237330, 23 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦4,000,000 per annum", , 4,,,
37, per annum,"13,000,000", Terraced Duplex," Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1238629, 24 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦4,500,000 per annum", , 4,,,
38, per annum,"1,500,000", Flat / Apartment," Off Bus Stop Surulere Lagos, Kilo, Surulere, Lagos", 1310249, 05 May 2022, 05 May 2022, Available, 3, 4, 2,,,, 3,,,
39, per annum,"5,500,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310248, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦60,000 per month", , 4,,,
40, per annum,"4,500,000", Flat / Apartment," Elf, Whitesand School Road, Lekki, Lagos", 1310243, 05 May 2022, 05 May 2022, Available, 2, 3, 2, Serviced," ₦1,800,000 per annum", , 2,,,
41, per annum,"20,000,000", Terraced Duplex," Banana Island, Ikoyi, Lagos", 1240624, 26 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
42, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available,, 6,,,, , 5,,,
43, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 5, 5,,,, 4,,,
44, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 5, 5, 3, Serviced," ₦40,000 per month", , 4,,,
45, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 5, 5,, Serviced," ₦500,000 ", , 4,,,
46, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 2, 2, 1, Serviced," ₦11,000 per annum",,, 600 sqm, 500 sqm,
47, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦5,000,000 per annum", , 4,,,
48, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦3,500,000 ", , 3,,,
49, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦840,000 per month", , 4,,,
50, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, 2, Serviced,, , 4,,,
51, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
52, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
53, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available, 2, 3, 2, Serviced,,,,,,
54, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, 4, Serviced,, , 4,,,
55, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced,, , 3,,,
56, per annum,"18,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1234292, 21 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
57, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1237330, 23 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦4,000,000 per annum", , 4,,,
58, per annum,"13,000,000", Terraced Duplex," Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1238629, 24 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦4,500,000 per annum", , 4,,,
59, per annum,"1,500,000", Flat / Apartment," Off Bus Stop Surulere Lagos, Kilo, Surulere, Lagos", 1310249, 05 May 2022, 05 May 2022, Available, 3, 4, 2,,,, 3,,,
60, per annum,"5,500,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310248, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦60,000 per month", , 4,,,
61, per annum,"4,500,000", Flat / Apartment," Elf, Whitesand School Road, Lekki, Lagos", 1310243, 05 May 2022, 05 May 2022, Available, 2, 3, 2, Serviced," ₦1,800,000 per annum", , 2,,,
62, per annum,"20,000,000", Terraced Duplex," Banana Island, Ikoyi, Lagos", 1240624, 26 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
63, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,, 10,,,,,,,
64, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 5, 5,,,, 4,,,
65, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 5, 5, 3, Serviced," ₦40,000 per month", , 4,,,
66, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 5, 5,, Serviced," ₦500,000 ", , 4,,,
67, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 2, 2, 1, Serviced," ₦11,000 per annum",,, 600 sqm, 500 sqm,
68, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦5,000,000 per annum", , 4,,,
69, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦3,500,000 ", , 3,,,
70, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦840,000 per month", , 4,,,
71, per annum,"22,000,000", Flat / Apartment," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1232688, 19 Feb 2022, 29 Apr 2022, Available, 4, 5, 2, Serviced,, , 4,,,
72, per annum,"20,000,000", Flat / Apartment," Ikoyi, Lagos", 1233522, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
73, per annum,"12,000,000", Flat / Apartment," Ikoyi, Lagos", 1233534, 20 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
74, per square meter / per annum,750, Office Space," Victoria Island (VI), Lagos", 1233945, 21 Feb 2022, 05 May 2022, Available, 2, 3, 2, Serviced,,,,,,
75, per annum,"30,000,050", Terraced Duplex," Banana Island Estate, Banana Island, Ikoyi, Lagos", 1233951, 21 Feb 2022, 05 May 2022, Available, 4, 5, 4, Serviced,, , 4,,,
76, per annum,"13,500,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1233957, 21 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced,, , 3,,,
77, per annum,"18,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1234292, 21 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
78, per annum,"15,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1237330, 23 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦4,000,000 per annum", , 4,,,
79, per annum,"13,000,000", Terraced Duplex," Ikoyi, Old Ikoyi, Ikoyi, Lagos", 1238629, 24 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦4,500,000 per annum", , 4,,,
80, per annum,"1,500,000", Flat / Apartment," Off Bus Stop Surulere Lagos, Kilo, Surulere, Lagos", 1310249, 05 May 2022, 05 May 2022, Available, 3, 4, 2,,,, 3,,,
81, per annum,"5,500,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310248, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦60,000 per month", , 4,,,
82, per annum,"4,500,000", Flat / Apartment," Elf, Whitesand School Road, Lekki, Lagos", 1310243, 05 May 2022, 05 May 2022, Available, 2, 3, 2, Serviced," ₦1,800,000 per annum", , 2,,,
83, per annum,"20,000,000", Terraced Duplex," Banana Island, Ikoyi, Lagos", 1240624, 26 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced,, , 4,,,
84, per annum,"8,000,000", Detached Duplex," Harmony Enclave, Adeniyi Jones, Ikeja, Lagos", 1293751, 18 Apr 2022, 18 Apr 2022, Available,, 6,,,, , 5,,,
85, per annum,"6,000,000", Semi-detached Duplex," Inside Chevy View Estate, Lekki, Lagos", 1310139, 05 May 2022, 05 May 2022, Available, 5, 5, 5,,,, 4,,,
86, per annum,"3,500,000", Terraced Duplex," Ikota Primary Sch, Lekki, Lagos", 1310063, 05 May 2022, 05 May 2022, Available, 5, 5, 3, Serviced," ₦40,000 per month", , 4,,,
87, per annum,"5,000,000", Terraced Duplex," Asokoro District, Abuja", 1309707, 05 May 2022, 05 May 2022, Available, 5, 5,, Serviced," ₦500,000 ", , 4,,,
88, per square meter / per annum,"40,000", Office Space," Herbert Macaulay Way, Central Business District, Abuja", 1235981, 22 Feb 2022, 26 Apr 2022, Available, 2, 2, 1, Serviced," ₦11,000 per annum",,, 600 sqm, 500 sqm,
89, per annum,"18,000,000", Flat / Apartment," Victoria Island (VI), Lagos", 1232216, 18 Feb 2022, 05 May 2022, Available, 4, 5, 2, Serviced," ₦5,000,000 per annum", , 4,,,
90, per annum,"10,000,000", Flat / Apartment," Old Ikoyi, Ikoyi, Lagos", 1232551, 19 Feb 2022, 05 May 2022, Available, 3, 4, 2, Serviced," ₦3,500,000 ", , 3,,,
91, per annum,"5,000,000", Terraced Duplex," Osapa, Lekki, Lagos", 1310263, 05 May 2022, 05 May 2022, Available, 4, 5,, Serviced," ₦840,000 per month", , 4,,,
