,Period,Price,Type,Location,Property Ref,Added On,Last Updated,Market Status,Bedrooms,Bathrooms,Toilets,   ,Servicing,Service Charge,Parking Spaces,Total Area,Covered Area,Furnishing
27, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
28, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
29, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
30, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
31, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
32, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
33, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
34, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
35, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
36, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
37, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
38, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
39, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
40, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
41, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
42, per annum,"3,000,000", Terraced Duplex," Amity Estate, Sangotedo, Ajah, Lagos", 979164, 17 Jun 2021, 04 May 2022, Available, 3, 3, 4,,,, 2,,,
43, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
44, per annum,"1,000,000", Flat / Apartment," Ado, Ajah, Lagos", 1312438, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
45, per annum,"350,000", Mini Flat (Room and Parlour)," Oke Ira Second Junction, Ogba, Ikeja, Lagos", 1312437, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
46, per annum,"2,800,000", Terraced Duplex," Megamound Estate Off Lekki County Road, Ikota, Lekki, Lagos", 1312432, 07 May 2022, 07 May 2022, Available, 3, 3, 4, ,,,,,,
47, per annum,"5,500,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1312430, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,,
48, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
49, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
50, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
51, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
52, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
53, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
54, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
55, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
56, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
57, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
58, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
59, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
60, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
61, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
62, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
63, per annum,"4,500,000", Terraced Duplex," Naf Valley Estate, Asokoro District, Abuja", 1296211, 21 Apr 2022, 04 May 2022, Available, 3, 3, 4, , Serviced," ₦800,000 per annum", 1, 400 sqm, 280 sqm, Furnished
64, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
65, per annum,"1,000,000", Flat / Apartment," Ado, Ajah, Lagos", 1312438, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
66, per annum,"350,000", Mini Flat (Room and Parlour)," Oke Ira Second Junction, Ogba, Ikeja, Lagos", 1312437, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
67, per annum,"2,800,000", Terraced Duplex," Megamound Estate Off Lekki County Road, Ikota, Lekki, Lagos", 1312432, 07 May 2022, 07 May 2022, Available, 3, 3, 4, ,,,,,,
68, per annum,"5,500,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1312430, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,,
69, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
70, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
71, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
72, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
73, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
74, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
75, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
76, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
77, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
78, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
79, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
80, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
81, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
82, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
83, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
84, per day,"60,000", Conference / Meeting / Training Room," Kado, Abuja", 638818, 05 Jun 2020, 04 Mar 2022, Available,,,,,,, 10,,,
85, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
86, per annum,"1,000,000", Flat / Apartment," Ado, Ajah, Lagos", 1312438, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
87, per annum,"350,000", Mini Flat (Room and Parlour)," Oke Ira Second Junction, Ogba, Ikeja, Lagos", 1312437, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
88, per annum,"2,800,000", Terraced Duplex," Megamound Estate Off Lekki County Road, Ikota, Lekki, Lagos", 1312432, 07 May 2022, 07 May 2022, Available, 3, 3, 4, ,,,,,,
89, per annum,"5,500,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1312430, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,,
90, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
91, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
92, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
93, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
94, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
95, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
96, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
97, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
98, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
99, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
100, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
101, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
102, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
103, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
104, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
105, per annum,"8,000,000", Terraced Duplex," Oniru, Victoria Island (VI), Lagos", 1243809, 02 Mar 2022, 11 Apr 2022, Available, 5, 5, 6, ,,,,,,
106, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
107, per annum,"1,000,000", Flat / Apartment," Ado, Ajah, Lagos", 1312438, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
108, per annum,"350,000", Mini Flat (Room and Parlour)," Oke Ira Second Junction, Ogba, Ikeja, Lagos", 1312437, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
109, per annum,"2,800,000", Terraced Duplex," Megamound Estate Off Lekki County Road, Ikota, Lekki, Lagos", 1312432, 07 May 2022, 07 May 2022, Available, 3, 3, 4, ,,,,,,
110, per annum,"5,500,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1312430, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,,
111, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
112, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
113, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
114, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
115, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
116, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
117, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
118, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
119, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
120, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
121, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
122, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
123, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
124, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
125, per annum,"1,500,000", Flat / Apartment," Ikota, Lekki, Lagos", 1312180, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
126, per annum,"3,000,000", Office Space," Sokode Crescent, Zone 5, Wuse, Abuja", 638787, 05 Jun 2020, 27 Apr 2022, Available,,, 5, , Serviced," ₦240,000 per annum", 30,,, Furnished
127, per annum,"1,750,000", Flat / Apartment," Ajah, Lagos", 1312319, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦650,000 per annum",,,,
128, per annum,"1,000,000", Flat / Apartment," Ado, Ajah, Lagos", 1312438, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
129, per annum,"350,000", Mini Flat (Room and Parlour)," Oke Ira Second Junction, Ogba, Ikeja, Lagos", 1312437, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
130, per annum,"2,800,000", Terraced Duplex," Megamound Estate Off Lekki County Road, Ikota, Lekki, Lagos", 1312432, 07 May 2022, 07 May 2022, Available, 3, 3, 4, ,,,,,,
131, per annum,"5,500,000", Flat / Apartment," Oniru, Victoria Island (VI), Lagos", 1312430, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum",,,,
132, per annum,"1,400,000", Mini Flat (Room and Parlour)," Marcus Poli Estate After Azman Filling Station, Gwarinpa, Abuja", 1312425, 07 May 2022, 07 May 2022, Available, 1, 1, 1, ,,,,,,
133, per annum,"4,000,000", Flat / Apartment," Orchid Lekki Lagos Nigeria, Lekki Expressway, Lekki, Lagos", 1312426, 07 May 2022, 07 May 2022, Available, 4, 5, 5, , Serviced," ₦40,000 ", 2," 2,000 sqm"," 1,000 sqm",
134, per annum,"12,000,000", Terraced Duplex," Old Ikoyi, Ikoyi, Lagos", 1307756, 03 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 5,,,
135, per annum,"400,000", Mini Flat (Room and Parlour)," Abijo, Victory Villa Estate, Ajah, Lagos", 1312415, 07 May 2022, 07 May 2022, Available, 1, 1, 2, ,,, 1,,, Furnished
136, per annum,"450,000", Mini Flat (Room and Parlour)," Destiny Homes Estate, Abijo, Lekki, Lagos", 1312408, 07 May 2022, 07 May 2022, Available, 1,,,,,,,,,
137, per annum,"5,500,000", Semi-detached Duplex," Orchid, Lekki, Lagos", 1312402, 07 May 2022, 07 May 2022, Available, 4, 4, 5,,,, 6,,,
138, per annum,"3,000,000", Semi-detached Duplex," Greenland, Olokonla, Ajah, Lagos", 1277970, 02 Apr 2022, 07 May 2022, Available, 4, 4, 5,,,, 2,,,
139, per annum,"6,000,000", Flat / Apartment," Off Eko Street, Parkview, Ikoyi, Lagos", 1312335, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦3,000,000 ",,,,
140, per annum,"2,700,000", Flat / Apartment," Lekki Right, Lekki Phase 1, Lekki, Lagos", 1312387, 07 May 2022, 07 May 2022, Available, 2, 2, 3, , Serviced," ₦80,000 per month", 2, 180 sqm, 190 sqm,
141, per annum,"4,000,000", Terraced Duplex," Spring Garden, Sangotedo, Ajah, Lagos", 1306871, 02 May 2022, 07 May 2022, Available, 4, 4, 5, , Serviced,, 5,,,
142, per annum,"500,000", Flat / Apartment," Magboro Area, Magboro, Ogun", 1312377, 07 May 2022, 07 May 2022, Available, 2, 3, 3, ,,, 3, 400 sqm, 400 sqm,
143, per annum,"7,000,000", Flat / Apartment," Osborne Phase 1, Ikoyi, Lagos", 1312371, 07 May 2022, 07 May 2022, Available, 3, 3, 4, , Serviced," ₦2,500,000 per annum", 2, 300 sqm, 300 sqm,
144, per annum,"1,200,000", Flat / Apartment," Newly Built Executive 2bedroom Flat At Alapere Ketu, Alapere, Ketu, Lagos", 1312373, 07 May 2022, 07 May 2022, Available, 2,,,,,,,,,
145, per annum,"2,000,000", Flat / Apartment," Sangotedo, Ajah, Lagos", 1312370, 07 May 2022, 07 May 2022, Available, 3, 3, 4,,,, 3,,,
